VEH_NO,PER_NO,ST_CASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2,1,10089,0,0,0,0,0,0,0,0,0,0
1,1,10090,27,27,27,27,27,27,27,27,27,27
1,1,10091,0,0,0,0,0,0,0,0,0,0
1,1,10092,13,13,13,13,13,13,13,13,13,13
1,1,10093,0,0,0,0,0,0,0,0,0,0
2,1,10093,0,0,0,0,0,0,0,0,0,0
1,1,10094,10,10,10,10,10,10,10,10,10,10
1,1,10095,0,0,0,0,0,0,0,0,0,0
1,1,10096,8,8,8,8,8,8,8,8,8,8
1,1,10097,0,0,0,0,0,0,0,0,0,0
2,1,10097,0,0,0,0,0,0,0,0,12,0
1,1,10098,9,4,11,0,21,33,14,0,0,12
1,1,10099,0,0,0,0,0,0,0,0,0,0
1,1,10100,0,0,0,0,0,0,0,0,0,0
2,1,10100,0,0,0,0,0,0,0,0,0,0
3,1,10100,0,0,0,0,0,0,0,0,0,0
1,1,10101,14,19,2,21,23,22,16,20,25,15
1,1,10102,25,25,25,25,25,25,25,25,25,25
1,1,10103,0,0,0,22,0,0,0,10,14,0
2,1,10103,0,0,0,0,0,0,0,23,0,0
1,1,10104,10,18,18,20,0,14,0,17,15,19
2,1,10104,0,0,0,0,0,0,16,0,0,0
1,1,10105,0,0,0,0,0,0,0,0,0,0
2,1,10105,0,0,0,0,0,0,0,0,0,0
1,1,10106,7,5,10,0,8,13,23,0,4,10
2,1,10106,0,0,0,0,0,0,0,0,0,0
1,1,10107,26,0,11,31,0,12,24,15,6,10
1,1,10108,0,0,0,0,0,0,0,0,0,0
2,1,10108,0,0,0,0,0,0,0,0,0,0
1,1,10109,0,0,0,0,0,0,0,0,0,0
2,1,10109,0,0,0,0,0,0,0,0,0,0
1,1,10110,20,22,30,18,10,25,7,9,15,10
1,1,10111,0,0,0,0,0,0,0,0,0,0
1,1,10112,0,8,0,0,0,0,0,0,0,0
2,1,10112,0,0,0,0,0,0,0,0,0,0
1,1,10113,18,0,8,0,15,16,9,10,6,12
1,1,10114,27,27,27,27,27,27,27,27,27,27
2,1,10114,0,0,0,0,0,0,0,0,0,0
1,1,10115,20,20,20,20,20,20,20,20,20,20
1,1,10116,16,17,0,0,0,13,0,0,17,0
1,1,10117,0,0,0,0,0,0,0,0,0,0
2,1,10117,0,0,0,0,0,0,0,0,0,0
1,1,10118,26,26,26,26,26,26,26,26,26,26
1,1,10119,0,0,0,0,0,0,0,0,0,0
2,1,10119,14,5,0,0,0,0,0,0,0,0
1,1,10120,0,0,0,0,0,0,0,0,0,0
2,1,10120,0,0,0,0,0,0,0,0,0,10
1,1,10121,0,7,0,3,0,11,17,0,5,7
2,1,10121,0,0,0,0,0,0,0,0,0,0
1,1,10122,0,0,0,0,0,0,0,0,0,0
2,1,10122,0,0,0,0,0,0,0,0,0,0
1,1,10123,0,0,0,0,0,0,0,0,0,0
2,1,10123,0,0,0,0,0,0,0,13,0,0
3,1,10123,0,0,0,0,0,0,0,0,0,15
1,1,10124,0,0,0,0,0,0,0,0,0,0
1,1,10125,30,17,22,18,43,19,9,20,19,19
1,1,10126,0,0,0,7,0,0,0,0,0,0
1,1,10127,17,15,15,14,14,32,20,18,24,14
1,1,10128,14,14,14,14,14,14,14,14,14,14
1,1,10129,0,0,0,0,0,0,0,0,0,0
1,1,10130,0,0,9,32,24,21,0,0,0,33
1,1,10131,3,3,3,3,3,3,3,3,3,3
1,1,10132,0,0,0,0,0,0,0,7,0,0
2,1,10132,0,0,0,0,0,0,0,0,0,0
1,1,10133,0,0,0,0,0,0,0,0,0,0
1,1,10134,0,0,0,0,0,0,0,0,0,0
1,1,10135,0,0,0,0,0,0,0,0,0,0
2,1,10135,0,0,0,0,0,0,0,0,0,0
1,1,10136,0,0,0,0,0,0,0,0,0,0
1,1,10137,25,25,25,25,25,25,25,25,25,25
1,1,10138,0,24,6,31,9,4,30,0,20,17
1,1,10139,0,0,0,0,0,0,0,0,0,0
1,1,10140,0,0,0,0,0,0,0,0,0,0
2,1,10140,0,0,0,0,0,0,0,0,0,0
3,1,10140,0,0,0,0,0,0,0,0,0,0
4,1,10140,0,0,0,0,0,0,0,0,0,0
1,1,10141,24,20,13,0,4,34,7,15,15,11
1,1,10142,0,0,0,0,0,0,0,0,0,0
1,1,10143,34,34,34,34,34,34,34,34,34,34
1,1,10144,0,0,0,0,0,0,0,0,0,0
1,1,10145,0,0,0,0,0,0,0,15,9,0
0,1,10146,0,31,0,0,0,0,0,0,7,0
1,1,10146,0,0,0,0,0,0,0,0,0,0
2,1,10146,25,4,0,0,22,0,0,0,0,0
1,1,10147,6,0,12,0,22,21,7,20,0,18
2,1,10147,0,0,0,0,0,0,0,7,0,0
1,1,10148,19,24,26,17,8,15,22,19,14,29
2,1,10148,0,0,0,0,0,0,12,0,0,0
1,1,10149,0,0,0,0,0,0,0,0,0,0
1,1,10150,0,0,0,0,3,20,0,0,0,0
1,1,10151,16,0,0,0,0,0,0,0,0,0
1,1,10152,0,0,0,0,0,0,11,0,0,0
1,1,10153,0,0,0,0,0,0,0,0,0,0
2,1,10153,0,0,0,0,0,0,0,0,0,0
1,1,10154,0,0,0,0,0,0,0,0,0,0
0,1,10155,0,0,0,0,0,0,11,0,0,0
1,1,10155,0,0,0,0,0,0,0,0,0,0
2,1,10155,0,0,0,0,0,0,0,0,0,0
1,1,10156,0,0,0,0,0,0,0,0,0,0
2,1,10156,0,0,0,0,0,0,0,0,0,0
0,1,10157,0,0,0,0,0,0,0,0,0,0
1,1,10157,13,16,12,0,26,0,0,4,33,9
1,1,10158,0,0,0,0,0,0,0,0,0,0
1,1,10159,19,39,23,22,16,11,29,16,16,25
1,1,10160,0,0,0,0,0,0,0,0,2,0
2,1,10160,0,0,0,0,0,0,15,0,0,0
1,1,10161,0,5,0,0,0,0,0,0,0,0
1,1,10162,0,11,0,0,0,0,0,0,0,0
1,1,10163,0,0,0,0,0,0,0,12,0,0
1,1,10164,11,0,6,0,0,0,18,0,0,15
1,1,10165,19,19,19,19,19,19,19,19,19,19
1,1,10166,0,0,0,0,0,0,0,0,0,0
1,1,10167,12,15,25,11,20,10,28,19,21,13
2,1,10167,0,0,0,0,0,0,0,0,0,0
1,1,10168,16,16,16,16,16,16,16,16,16,16
1,1,10169,21,0,27,19,13,12,24,16,18,20
1,1,10170,0,0,0,0,0,0,0,0,0,0
2,1,10170,0,0,0,0,0,0,0,0,0,0
1,1,10171,13,18,18,18,8,20,18,31,26,8
2,1,10171,0,0,0,0,0,0,14,11,0,0
1,1,10172,21,0,0,0,0,0,10,14,0,8
1,1,10173,19,17,19,28,25,8,0,13,18,20
1,1,10174,5,5,5,5,5,5,5,5,5,5
1,1,10175,0,0,0,0,0,0,0,0,0,0
2,1,10175,0,0,0,0,0,0,0,0,0,0
1,1,10176,0,0,0,0,0,0,0,0,0,0
2,1,10176,10,0,0,0,0,0,0,0,0,0
3,1,10176,0,0,0,0,0,0,0,0,0,0
1,1,10177,0,0,0,0,0,0,0,0,0,0
2,1,10177,0,0,0,0,0,0,0,0,0,0
1,1,10178,16,16,24,17,14,7,33,21,18,0
2,1,10178,0,0,0,0,0,0,0,0,0,0
1,1,10179,0,0,0,0,0,0,0,0,0,0
2,1,10179,0,0,0,0,0,0,0,0,0,0
1,1,10180,0,0,0,0,0,0,0,0,0,0
1,1,10181,0,0,0,0,0,0,0,0,0,0
2,1,10181,0,0,0,0,0,0,0,0,0,0
1,1,10182,16,28,13,18,29,8,26,25,12,33
1,1,10183,0,0,0,0,0,0,0,0,0,0
1,1,10184,0,0,0,0,0,0,0,0,0,0
1,1,10185,0,0,0,0,0,0,0,0,0,0
2,1,10185,0,0,0,0,0,0,0,0,0,0
1,1,10186,16,39,33,26,27,13,14,13,12,15
1,1,10187,7,0,0,0,0,0,7,7,0,18
2,1,10187,0,0,0,0,0,0,0,0,0,0
1,1,10188,0,0,0,0,0,0,7,0,0,0
1,1,10189,14,14,14,14,14,14,14,14,14,14
2,1,10189,0,0,0,0,0,0,4,0,0,0
3,1,10189,6,12,0,12,0,0,0,0,0,0
1,1,10190,0,0,0,0,0,0,0,0,0,0
2,1,10190,7,7,7,7,7,7,7,7,7,7
1,1,10191,0,0,0,0,0,0,0,0,0,0
1,1,10192,14,14,14,14,14,14,14,14,14,14
1,1,10193,0,0,0,0,0,0,0,0,0,0
1,1,10194,0,0,0,16,0,0,0,14,0,0
2,1,10194,0,0,0,0,0,0,0,0,0,0
1,1,10195,27,21,0,0,24,16,33,23,20,16
1,1,10196,0,0,0,0,0,0,0,0,0,0
1,1,10197,19,9,8,13,15,4,37,16,20,13
1,1,10198,3,0,24,24,20,6,23,15,0,18
0,1,10199,0,0,0,0,0,0,0,0,0,0
1,1,10199,0,0,0,0,0,0,0,0,0,0
1,1,10200,24,22,10,15,15,22,33,28,49,6
1,1,10201,0,0,0,0,0,7,0,10,0,0
0,1,10202,0,0,22,0,0,0,0,9,0,0
1,1,10202,0,0,0,0,0,0,0,0,0,0
1,1,10203,21,13,3,14,7,27,16,21,19,17
1,1,10204,0,0,0,0,0,0,0,0,0,0
2,1,10204,0,0,0,0,0,0,0,0,0,0
1,1,10205,0,0,8,0,0,0,0,0,0,0
2,1,10205,25,25,25,25,25,25,25,25,25,25
1,1,10206,0,0,0,0,0,0,0,0,0,0
1,1,10207,18,18,18,18,18,18,18,18,18,18
1,1,10208,0,0,0,0,0,0,0,0,0,0
2,1,10208,0,0,0,0,0,0,0,0,0,0
3,1,10208,0,0,0,0,0,0,0,0,0,0
4,1,10208,0,0,0,0,0,0,0,0,0,0
1,1,10209,0,0,0,0,0,0,0,0,0,0
1,1,10210,0,0,0,0,0,0,0,0,0,0
2,1,10210,0,0,0,0,0,0,0,0,0,8
1,1,10211,0,0,0,0,0,0,0,0,0,0
2,1,10211,0,0,0,0,0,0,0,0,0,0
1,1,10212,14,14,14,14,14,14,14,14,14,14
1,1,10213,7,7,7,7,7,7,7,7,7,7
1,1,10214,26,28,25,28,12,8,14,12,22,16
1,1,10215,0,0,0,0,0,0,0,0,0,0
2,1,10215,0,0,0,0,0,0,0,0,0,0
1,1,10216,9,5,19,13,12,9,17,12,8,19
2,1,10216,0,0,0,0,0,0,0,0,0,0
1,1,10217,21,25,20,0,34,29,23,0,17,24
1,1,10218,0,0,0,0,0,0,0,0,0,0
1,1,10219,21,11,29,21,17,37,23,19,9,14
1,1,10220,0,0,0,0,0,0,0,0,0,0
1,1,10221,0,0,0,0,0,0,0,0,0,0
1,1,10222,11,11,11,11,11,11,11,11,11,11
1,1,10223,0,4,0,0,0,17,6,0,0,14
1,1,10224,0,0,0,0,0,0,0,0,0,0
2,1,10224,0,0,0,0,0,0,0,0,0,0
3,1,10224,0,0,0,0,0,0,0,0,0,0
1,1,10225,24,24,24,24,24,24,24,24,24,24
1,1,10226,15,15,15,15,15,15,15,15,15,15
2,1,10226,0,0,0,0,7,0,0,0,0,0
3,1,10226,0,0,0,0,0,0,0,0,0,0
1,1,10227,0,0,0,0,0,0,0,0,0,0
1,1,10228,0,0,0,0,0,0,0,0,0,0
2,1,10228,0,0,0,0,0,0,0,0,0,0
1,1,10229,5,5,5,5,5,5,5,5,5,5
2,1,10229,0,0,0,0,0,0,0,0,17,0
1,1,10230,0,0,0,0,0,0,0,0,0,0
2,1,10230,0,0,0,0,17,0,0,0,0,0
3,1,10230,0,0,0,0,0,0,0,0,0,0
1,1,10231,0,0,0,0,0,0,0,0,0,0
2,1,10231,0,0,0,0,0,0,0,0,0,0
1,1,10232,0,0,0,0,0,0,0,0,0,0
1,1,10233,0,0,0,0,0,0,0,0,0,0
2,1,10233,6,6,6,6,6,6,6,6,6,6
1,1,10234,17,0,0,0,14,22,14,0,0,0
1,1,10235,0,0,0,0,0,0,0,0,0,0
1,1,10236,13,13,33,30,19,48,21,8,15,33
1,1,10237,0,0,0,0,0,0,0,0,0,0
2,1,10237,0,0,0,0,0,7,0,0,0,0
3,1,10237,0,0,0,0,0,0,0,0,0,0
4,1,10237,0,0,0,0,0,0,0,0,0,0
1,1,10238,16,16,16,16,16,16,16,16,16,16
1,1,10239,0,0,0,0,0,0,0,9,0,0
2,1,10239,0,0,0,0,0,0,0,0,0,0
1,1,10240,30,30,30,30,30,30,30,30,30,30
1,1,10241,15,18,22,19,18,30,13,21,12,30
1,1,10242,24,24,24,24,24,24,24,24,24,24
1,1,10243,0,0,0,0,0,0,0,0,0,0
1,1,10244,28,28,28,28,28,28,28,28,28,28
1,1,10245,17,17,17,17,17,17,17,17,17,17
2,1,10245,0,0,0,0,0,0,0,0,0,0
1,1,10246,25,26,16,14,22,16,0,15,8,18
2,1,10246,14,0,0,0,0,0,0,0,0,12
3,1,10246,0,0,0,0,0,0,0,0,0,0
1,1,10247,0,0,0,0,6,5,0,0,0,0
2,1,10247,0,0,0,0,0,0,0,0,0,0
1,1,10248,0,0,0,0,0,0,0,0,0,0
2,1,10248,0,0,0,0,0,0,0,0,0,0
1,1,10249,0,0,0,0,0,0,0,0,0,0
2,1,10249,0,0,0,0,0,0,0,0,0,0
0,1,10250,40,40,40,40,40,40,40,40,40,40
1,1,10250,0,14,0,13,0,0,0,0,0,19
1,1,10251,0,0,0,0,0,0,0,0,0,0
2,1,10251,0,0,0,0,0,0,0,0,0,0
1,1,10252,0,0,18,0,0,0,0,0,0,0
1,1,10253,0,0,0,0,0,0,0,0,0,0
2,1,10253,0,0,0,0,0,0,0,0,0,0
1,1,10254,0,0,0,0,0,0,0,0,0,0
2,1,10254,0,0,0,0,0,0,11,0,0,0
1,1,10255,0,0,0,0,0,0,0,0,0,0
2,1,10255,0,0,0,0,0,0,0,0,0,0
1,1,10256,0,3,0,0,0,0,0,0,0,0
2,1,10256,0,0,0,0,0,0,0,0,0,0
3,1,10256,0,0,0,0,0,0,0,0,0,0
1,1,10257,0,0,0,0,0,0,0,0,0,0
1,1,10258,14,14,14,14,14,14,14,14,14,14
1,1,10259,0,0,0,0,0,0,0,0,0,0
2,1,10259,0,0,0,0,0,0,0,0,0,0
1,1,10260,0,0,0,0,0,0,0,0,0,0
1,1,10261,17,17,17,17,17,17,17,17,17,17
1,1,10262,0,0,0,0,0,0,0,0,0,0
1,1,10263,0,0,31,0,0,0,0,5,0,14
2,1,10263,0,5,0,0,0,0,0,0,0,0
1,1,10264,0,0,0,0,0,0,0,0,0,0
2,1,10264,0,0,0,0,0,0,0,0,0,0
1,1,10265,0,0,0,0,0,0,0,0,0,0
1,1,10266,0,0,0,0,0,0,0,0,0,0
2,1,10266,0,0,0,0,0,0,0,0,0,0
0,1,10267,27,27,27,27,27,27,27,27,27,27
1,1,10267,0,0,0,16,0,7,0,0,0,0
1,1,10268,23,23,23,23,23,23,23,23,23,23
2,1,10268,0,0,0,0,0,0,0,0,0,0
1,1,10269,18,18,18,18,18,18,18,18,18,18
1,1,10270,0,0,0,0,0,0,0,0,0,0
1,1,10271,0,20,13,17,19,0,0,16,17,0
1,1,10272,0,0,0,0,0,0,0,0,0,0
2,1,10272,0,0,0,6,0,0,0,0,0,0
1,1,10273,21,0,4,0,9,0,21,18,10,24
1,1,10274,22,22,22,22,22,22,22,22,22,22
2,1,10274,0,0,0,0,0,0,0,0,0,0
3,1,10274,0,6,0,0,0,0,0,0,0,0
1,1,10275,0,0,0,0,0,0,0,0,0,0
1,1,10276,0,0,0,0,0,0,0,0,0,0
2,1,10276,0,0,0,0,0,14,0,0,0,0
1,1,10277,0,0,0,0,0,0,0,0,0,0
1,1,10278,19,4,24,37,19,9,15,23,22,26
1,1,10279,0,0,0,0,0,0,0,0,0,0
1,1,10280,0,0,0,0,0,0,0,0,0,0
2,1,10280,0,0,0,0,0,0,0,0,0,0
1,1,10281,0,0,0,0,0,0,0,0,0,0
2,1,10281,0,0,0,0,0,0,0,0,0,0
3,1,10281,0,0,0,0,0,0,0,0,0,0
1,1,10282,0,0,0,0,0,0,0,0,0,0
2,1,10282,0,0,0,0,0,0,0,0,0,0
1,1,10283,0,0,0,0,0,0,0,0,0,0
1,1,10284,0,0,0,0,0,12,0,0,0,0
2,1,10284,0,0,0,0,0,0,0,0,0,0
1,1,10285,31,31,31,31,31,31,31,31,31,31
2,1,10285,0,0,0,0,0,0,0,0,0,0
1,1,10286,13,19,22,19,26,29,25,26,18,14
1,1,10287,0,0,22,0,0,0,0,0,13,0
2,1,10287,0,0,0,22,0,4,13,0,0,0
1,1,10288,20,24,36,29,15,14,30,25,20,22
1,1,10289,0,0,0,0,0,0,0,0,0,0
1,1,10290,0,0,0,0,6,0,0,0,0,0
1,1,10291,40,29,24,21,13,27,18,13,25,18
1,1,10292,12,12,12,12,12,12,12,12,12,12
1,1,10293,0,0,0,0,0,0,0,0,0,8
2,1,10293,0,0,0,0,0,0,0,0,0,0
1,1,10294,0,0,0,0,0,0,0,0,0,0
1,1,10295,13,13,13,13,13,13,13,13,13,13
1,1,10296,0,0,0,12,0,0,0,17,0,0
1,1,10297,9,0,0,0,0,0,0,23,0,0
2,1,10297,0,0,0,0,0,0,0,0,0,0
1,1,10298,0,0,0,0,0,0,0,0,0,0
1,1,10299,20,20,20,20,20,20,20,20,20,20
0,1,10300,10,13,28,0,36,0,0,11,22,0
1,1,10300,0,0,0,0,0,0,10,0,0,0
0,1,10301,0,0,0,0,0,0,0,0,0,0
1,1,10301,0,5,20,25,0,0,0,17,18,0
1,1,10302,6,6,6,6,6,6,6,6,6,6
1,1,10303,0,0,0,6,0,0,14,0,0,0
0,1,10304,0,0,0,0,0,0,0,0,0,0
1,1,10304,10,10,10,10,10,10,10,10,10,10
1,1,10305,0,0,0,0,0,0,0,0,0,0
2,1,10305,0,0,0,0,0,0,0,0,0,0
1,1,10306,26,26,26,26,26,26,26,26,26,26
1,1,10307,0,0,0,0,0,0,0,0,0,0
1,1,10308,0,0,0,0,0,0,0,0,0,0
2,1,10308,0,0,0,0,0,0,0,0,0,0
1,1,10309,0,0,0,0,0,0,0,0,0,0
1,1,10310,26,26,26,26,26,26,26,26,26,26
1,1,10311,22,22,22,22,22,22,22,22,22,22
1,1,10312,0,0,0,0,0,0,0,0,0,0
2,1,10312,0,0,0,0,0,0,0,0,0,0
1,1,10313,0,0,0,0,0,0,0,0,0,0
2,1,10313,0,13,0,0,6,0,21,0,0,0
1,1,10314,10,10,10,10,10,10,10,10,10,10
2,1,10314,0,0,0,0,0,0,0,0,0,0
1,1,10315,0,0,0,0,0,0,0,0,0,0
2,1,10315,0,0,0,0,0,0,0,0,0,0
3,1,10315,0,0,0,0,0,0,0,0,0,0
4,1,10315,0,0,0,0,0,0,0,0,0,0
1,1,10316,18,18,18,18,18,18,18,18,18,18
1,1,10317,0,0,0,0,0,0,0,0,0,0
2,1,10317,0,0,0,0,0,0,0,0,0,0
1,1,10318,25,25,25,25,25,25,25,25,25,25
1,1,10319,0,0,0,0,0,0,0,0,0,0
1,1,10320,15,15,15,15,15,15,15,15,15,15
1,1,10321,0,0,0,0,0,0,0,0,0,0
2,1,10321,0,0,0,0,0,0,0,0,0,0
1,1,10322,0,0,0,0,0,0,0,0,0,0
1,1,10323,0,0,0,0,0,0,0,0,0,0
2,1,10323,0,0,0,0,0,0,0,0,0,0
1,1,10324,0,0,0,0,0,0,0,0,0,0
1,1,10325,21,21,21,21,21,21,21,21,21,21
1,1,10326,0,0,0,0,0,0,0,0,0,0
1,1,10327,23,23,23,23,23,23,23,23,23,23
1,1,10328,0,0,0,0,0,0,0,0,0,0
1,1,10329,0,0,0,0,0,0,0,0,0,0
2,1,10329,0,0,0,0,0,0,0,0,0,0
3,1,10329,0,0,0,0,0,0,0,0,0,0
4,1,10329,0,0,0,0,0,0,0,0,0,0
1,1,10330,41,41,41,41,41,41,41,41,41,41
1,1,10331,0,0,0,0,0,0,0,0,0,0
1,1,10332,0,0,0,0,0,0,0,0,0,0
2,1,10332,0,0,0,0,0,0,0,0,18,0
1,1,10333,0,0,0,0,0,0,0,0,0,0
1,1,10334,15,0,10,8,25,5,6,10,21,25
0,1,10335,40,40,40,40,40,40,40,40,40,40
1,1,10335,0,0,0,0,0,0,0,0,0,0
1,1,10336,0,0,21,4,0,0,0,0,0,0
