COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
9,1,1,7,25,1,3,3,1,1,2,70,2,1,2,2,0,0,0,1,0,0,0,0,1,5,480001,0,2004,SR-79,99999999999999999999,33.438119444,-98.69051944
33,1,1,1,45,1,5,8,1,1,2,65,2,1,2,1,40,3,0,1,0,0,0,0,1,5,480002,0,2004,FM1785,99999999999999999999,32.558255556,-101.3555528
39,1,1,13,41,6,16,5,3,1,4,60,1,1,2,1,3,3,1,1,0,0,0,0,1,5,480003,5249,2004,SHADOWCREEKPARKWAY,KIRBY,,
91,1,1,15,12,3,13,8,8,5,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480004,6229,2004,FM2673,99999999999999999999,29.849980556,-98.171675
113,1,1,17,38,1,11,7,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480005,2678,2004,I-35E,99999999999999999999,32.547372222,-96.82269444
121,1,1,4,10,2,11,7,1,4,2,45,1,1,2,2,0,0,0,1,0,0,0,0,1,5,480006,3960,2004,I-35E,99999999999999999999,33.038180556,-97.00231111
215,1,1,2,30,1,6,4,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480007,0,2004,MILE17,99999999999999999999,26.305366666999998,-98.08842222
287,1,1,2,10,2,2,2,8,1,4,65,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480008,0,2004,US-290,99999999999999999999,30.170858333,-96.86675
289,1,1,3,30,1,3,3,1,1,2,65,1,1,2,2,0,0,0,5,0,0,0,0,1,5,480009,0,2004,SR-7,99999999999999999999,31.291297221999997,-95.877425
407,1,1,0,39,2,2,2,1,2,2,55,1,1,2,2,0,0,0,1,1,0,0,0,1,5,480010,6344,2004,US-59,99999999999999999999,30.490233333000003,-94.99421111
491,1,1,7,0,4,3,3,1,5,4,65,2,1,2,2,0,0,0,1,0,0,0,0,2,5,480011,0,2004,SR-29,99999999999999999999,30.643155556,-97.84178333
493,1,1,3,30,3,6,4,1,1,2,30,2,1,2,2,0,0,0,1,0,0,0,0,1,5,480012,0,2004,CIMMARON,99999999999999999999,29.256436111,-98.26935556
53,1,2,13,24,1,4,3,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480013,0,2004,SR-4,99999999999999999999,30.684088889,-98.33515556
85,1,2,23,25,1,16,5,1,2,3,45,1,1,1,1,0,0,0,1,0,0,0,0,1,6,480014,5390,2004,SPRINGCREEK,99999999999999999999,33.065572222,-96.81771944
113,1,2,5,20,3,11,1,1,3,5,60,2,1,2,1,0,0,2,1,0,0,0,0,1,6,480015,1730,2004,I-35E,99999999999999999999,32.775072222,-96.81100556
209,1,2,19,42,3,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480016,0,2004,RM-12,99999999999999999999,30.028905555999998,-98.10135278
265,1,2,19,40,2,4,3,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480017,1278,2004,SR-27,99999999999999999999,29.950316667,-99.04385
373,1,2,8,35,2,6,4,3,1,2,35,2,1,2,2,0,0,0,1,0,0,0,0,1,6,480018,0,2004,PRIDGEN,DOUGLASNUGENT,30.720166666999997,-94.99903889
29,1,3,22,9,2,11,1,1,3,2,60,2,1,2,1,0,0,0,1,0,0,0,0,2,7,480019,6090,2004,I-410,99999999999999999999,29.465527778000002,-98.40373889
71,1,3,18,0,2,3,3,8,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480020,0,2004,SR-124,99999999999999999999,29.781361111,-94.37930833
113,1,3,0,30,2,11,1,1,3,4,60,1,1,1,1,0,0,0,1,0,0,0,0,1,7,480021,1730,2004,I-35E,99999999999999999999,32.734811111,-96.82388333
181,1,3,0,30,1,6,4,1,1,2,55,1,1,2,2,0,0,0,1,0,0,0,0,1,7,480022,0,2004,WDHILL,99999999999999999999,33.590022221999995,-96.68996111
231,1,3,4,40,1,3,8,1,5,4,55,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480023,2860,2004,FM1570,99999999999999999999,33.0714,-96.07932778
289,1,3,13,15,1,5,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480024,0,2004,FM579,99999999999999999999,31.106452778,-95.84969722
449,1,3,17,50,5,1,7,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480025,0,2004,I-30,99999999999999999999,33.159605556,-95.06167222
303,1,4,2,59,1,2,2,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480026,0,2004,US-84,99999999999999999999,33.497530556,-101.7380917
441,1,4,0,5,6,12,2,1,3,1,60,1,1,2,1,0,0,0,1,1,0,0,0,1,1,480027,30,2004,US-83/84,99999999999999999999,32.395416667,-99.74971944
157,1,5,5,34,2,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480028,0,2004,FM762,99999999999999999999,29.529941667,-95.69981389
201,1,5,13,50,1,16,5,1,2,3,40,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480029,3280,2004,ALLENPARKWAY,99999999999999999999,29.760616666999997,-95.37829444
5,1,6,5,45,3,4,3,2,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480030,0,2004,SR-147,CR333,31.175177778000002,-94.38431111
135,1,6,12,45,5,16,5,2,1,2,30,1,1,2,1,20,3,0,1,0,0,0,0,1,3,480031,5030,2004,37THST,GRANDVIEW,31.886816666999998,-102.3511556
201,1,6,12,10,4,4,8,2,1,2,50,1,1,2,1,3,3,0,1,0,0,0,0,1,3,480032,0,2004,FM2100,HUFFMAN-EASTGATERD,30.038355556,-95.08941944
201,1,6,18,16,4,6,4,1,2,2,30,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480033,0,2004,JONESRD,99999999999999999999,29.967283333,-95.58530556
21,1,7,10,15,4,4,3,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,2,4,480034,0,2004,SR-304,99999999999999999999,30.041611110999998,-97.32555
201,1,7,2,0,2,6,4,1,1,2,35,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480035,0,2004,LAUDER,99999999999999999999,29.912263889000002,-95.33547222
255,1,7,19,25,3,4,8,1,1,2,60,1,1,2,2,0,0,0,2,0,0,0,0,1,4,480036,0,2004,FM239,99999999999999999999,28.739294444000002,-97.69875833
55,1,8,4,55,2,3,3,2,1,2,65,1,1,2,2,20,3,0,2,0,0,0,0,1,5,480037,0,2004,SR-21,FM150,29.934802778,-97.8169
171,1,8,0,30,2,6,4,1,1,2,60,2,1,2,2,0,0,0,2,0,0,0,0,1,5,480038,0,2004,OLDCENTERPOINT,99999999999999999999,30.183344444,-98.93558611
201,1,8,8,0,2,12,8,1,3,4,60,1,1,1,2,0,0,0,2,1,0,0,0,1,5,480039,0,2004,LP8,99999999999999999999,29.786508333,-95.15933611
245,1,8,2,0,3,13,2,2,1,4,35,1,1,1,2,3,3,0,2,0,0,0,0,1,5,480040,490,2004,US-90,11TH,30.068277778000002,-94.12950556
407,1,8,17,15,7,2,2,1,2,2,55,1,1,2,2,0,0,0,2,1,0,0,0,1,5,480041,6344,2004,US-59,99999999999999999999,30.515738889,-94.98568889
439,1,8,18,38,4,11,1,1,3,4,60,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480042,260,2004,I-20,99999999999999999999,32.676580556,-97.12658056
497,1,8,14,14,4,4,3,2,1,2,65,1,1,2,1,20,3,0,1,0,0,0,0,1,5,480043,0,2004,SR-114,4599,33.080266667,-97.62781111
53,1,9,9,36,2,3,2,1,3,3,70,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480044,0,2004,US-281,99999999999999999999,30.508847221999996,-98.29576111
113,1,9,12,57,3,16,5,2,3,3,45,1,1,1,1,0,0,0,1,0,20,0,0,1,6,480045,2590,2004,JUPITER,EXPRESS,32.891505556,-96.68289167
113,1,9,11,22,2,11,7,1,4,2,45,1,1,1,1,0,0,0,1,0,0,0,0,1,6,480046,2590,2004,I-30,99999999999999999999,32.865886111,-96.54256944
329,1,9,21,59,3,13,8,2,1,4,40,1,1,2,1,3,3,0,1,0,0,0,0,2,6,480047,4560,2004,BU20,LAMESA,32.000538889,-102.0651
439,1,9,13,45,2,16,5,2,2,4,35,1,1,2,1,20,3,0,1,0,0,0,0,1,6,480048,3594,2004,KELLERSMITHFIELD,BEARCREEK,32.927072222,-97.22026389
481,1,9,6,46,3,2,2,7,3,2,65,1,1,2,2,0,0,0,1,0,0,0,0,1,6,480049,7410,2004,US-59,99999999999999999999,29.307513889000003,-96.12595
143,1,10,7,35,1,4,3,1,1,2,70,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480050,0,2004,SR-220,99999999999999999999,32.060111111,-97.99598889
367,1,10,15,17,5,14,8,2,5,4,45,1,1,2,1,20,3,0,1,0,0,0,0,1,7,480051,7280,2004,FM51,7TH,32.973433333,-97.685325
481,1,10,23,43,4,13,2,1,2,2,65,1,1,2,1,0,0,0,5,0,0,0,0,1,7,480052,2130,2004,US-59,99999999999999999999,29.174988889,-96.28068056
31,1,11,2,5,2,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480053,0,2004,FM32,99999999999999999999,30.037616666999998,-98.34168889
85,1,11,22,32,2,4,3,1,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480054,4445,2004,SR-5,99999999999999999999,33.2703,-96.58351389
91,1,11,4,1,1,13,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480055,0,2004,FM2722,99999999999999999999,29.823930556,-98.23549167
141,1,11,3,20,2,16,5,1,5,4,35,1,1,2,1,0,0,0,1,0,0,0,0,2,1,480056,2190,2004,TROWBRIDGE,99999999999999999999,31.775230556,-106.40960279999999
187,1,11,19,45,2,1,1,5,6,1,65,2,1,2,1,0,0,0,1,1,3,0,0,1,1,480057,0,2004,I-10,99999999999999999999,29.624858333000002,-97.77113889
193,1,11,17,47,2,3,3,1,1,2,40,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480058,3000,2004,SR-22,JOHNSON,31.699316666999998,-98.10884167
201,1,11,1,25,1,16,5,1,1,2,35,2,1,2,1,0,0,0,1,0,20,0,0,1,1,480059,3280,2004,TIDWELL,99999999999999999999,29.8505,-95.23299444
439,1,11,14,40,7,16,5,2,5,2,40,1,1,2,1,20,3,1,1,0,0,0,0,1,1,480060,2450,2004,RIVERSIDE,MORPHY,32.7289,-97.30318611
475,1,11,16,35,1,4,8,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480061,0,2004,FM1219,99999999999999999999,31.529986111,-102.98536390000001
29,1,12,15,37,2,11,1,1,3,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480062,6090,2004,I-410,99999999999999999999,29.399583333000002,-98.38915278
85,1,12,23,49,2,2,2,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480063,0,2004,US-75,99999999999999999999,33.391566667,-96.58038889
91,1,12,6,59,4,11,1,1,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480064,4870,2004,I-35,99999999999999999999,29.695627778000002,-98.10046389
215,1,12,19,51,2,16,5,1,1,4,30,1,1,2,1,0,0,2,1,0,0,0,0,1,2,480066,50,2004,TOWER,99999999999999999999,26.187233333000002,-98.11041389
