ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480001,2,29,6090,1,1,2014,4,4,22,12,8,FM-1604,,29.58704444,-98.6304,1,1,0,1,19,0,0,1
480002,1,113,1730,1,1,2014,4,0,20,13,8,SL 12,PALODURO LN,32.68372222,-96.8144,3,1,0,1,0,0,0,1
480003,4,113,2590,1,1,2014,4,15,11,16,5,SHILOH RD,CLEARSPRINGS PKWY,32.97686389,-96.6653,1,1,0,1,0,0,0,2
480004,1,157,0,1,1,2014,4,3,39,6,4,CR-BLUESTONE CANYON DR,PALMDALE ESTATES DR,29.68826667,-95.8248,3,10,0,10,0,0,0,1
480005,1,177,0,1,1,2014,4,4,0,5,8,FM 443,,29.38846111,-97.2847,1,1,0,1,0,0,0,1
480006,4,201,3280,1,1,2014,4,1,0,16,5,PIERCE ST,MILAM ST,29.75052222,-95.3726,2,1,0,1,0,0,0,1
480007,5,201,3280,1,1,2014,4,2,25,13,8,FM 1093,,29.73770556,-95.4926,1,1,0,1,0,0,0,1
480008,1,201,3280,1,1,2014,4,1,40,16,5,WESTPARK TOLLWAY,,29.71057778,-95.6486,1,1,0,1,0,0,0,1
480009,1,221,0,1,1,2014,4,4,14,4,8,FM 167,,32.42212222,-97.6708,1,1,0,1,0,0,0,1
480010,2,231,0,1,1,2014,4,8,14,2,3,SR-34,,32.85668056,-96.1493,1,1,0,1,0,0,0,1
480011,1,253,0,1,1,2014,4,14,36,3,3,SR-6,,32.86211111,-99.7078,1,1,0,1,0,0,0,1
480012,2,279,0,1,1,2014,4,12,15,6,4,CR-155,CR-212,34.04196944,-102.40700000000001,2,1,0,1,0,0,0,1
480013,2,371,0,1,1,2014,4,5,35,2,2,US-285,,31.08046944,-103.197,1,1,0,1,0,0,0,1
480014,1,449,0,1,1,2014,4,21,35,4,8,FM 1735,,33.13268056,-94.9089,1,1,0,1,0,0,0,1
480015,1,457,1458,1,1,2014,4,4,0,2,2,US-69,,30.89683056,-94.4225,1,10,0,10,0,0,0,1
480016,2,85,0,2,1,2014,5,6,30,13,2,US-380,,33.19416944,-96.5615,1,1,0,1,0,0,0,1
480017,1,473,0,2,1,2014,5,22,28,6,4,CR-JOSEPH RD,,30.17558611,-95.81,1,1,0,1,0,0,0,1
480018,2,1,0,3,1,2014,6,6,40,2,2,US-175,,32.06036944,-95.5476,1,1,0,1,0,0,0,1
480019,1,29,6090,3,1,2014,6,7,30,12,2,US-281,,29.54081944,-98.4918,1,1,0,1,0,0,0,1
480020,1,189,0,3,1,2014,6,9,40,1,1,I-27,,33.96726944,-101.854,1,1,0,1,0,0,0,1
480021,5,199,0,3,1,2014,6,16,25,2,2,US-69,HOOKS CEMETERY RD,30.317025,-94.2526,3,1,0,1,0,0,0,2
